Series.Code	Indicator	Target	Goal
"SL_TLF_CHDLBR_12.to.14.years.old_Male"	8.7.12	8.7	8
"SL_TLF_CHDLBR_12.to.17.years.old_Both.sexes.or.no.breakdown.by.sex"	8.7.13	8.7	8
"SL_TLF_CHDLBR_12.to.17.years.old_Female"	8.7.14	8.7	8
"SL_TLF_CHDLBR_12.to.17.years.old_Male"	8.7.15	8.7	8
"SL_TLF_CHDLBR_15.to.17.years.old_Both.sexes.or.no.breakdown.by.sex"	8.7.16	8.7	8
"SL_TLF_CHDLBR_15.to.17.years.old_Female"	8.7.17	8.7	8
"SL_TLF_CHDLBR_15.to.17.years.old_Male"	8.7.18	8.7	8
"SL_TLF_CHDLBR_5.to.14.years.old_Both.sexes.or.no.breakdown.by.sex"	8.7.19	8.7	8
"SL_TLF_CHDLBR_5.to.14.years.old_Female"	8.7.20	8.7	8
"SL_TLF_CHDLBR_5.to.14.years.old_Male"	8.7.21	8.7	8
"SL_TLF_CHDLBR_5.to.17.years.old_Both.sexes.or.no.breakdown.by.sex"	8.7.22	8.7	8
"SL_TLF_CHDLBR_5.to.17.years.old_Female"	8.7.23	8.7	8
"SL_TLF_CHDLBR_5.to.17.years.old_Male"	8.7.24	8.7	8
"SL_TLF_CHDLBR_6.to.14.years.old_Both.sexes.or.no.breakdown.by.sex"	8.7.25	8.7	8
"SL_TLF_CHDLBR_6.to.14.years.old_Female"	8.7.26	8.7	8
"SL_TLF_CHDLBR_6.to.14.years.old_Male"	8.7.27	8.7	8
"SL_TLF_CHDLBR_6.to.17.years.old_Both.sexes.or.no.breakdown.by.sex"	8.7.28	8.7	8
"SL_TLF_CHDLBR_6.to.17.years.old_Female"	8.7.29	8.7	8
"SL_TLF_CHDLBR_6.to.17.years.old_Male"	8.7.30	8.7	8
"SL_TLF_CHDLBR_7.to.14.years.old_Both.sexes.or.no.breakdown.by.sex"	8.7.31	8.7	8
"SL_TLF_CHDLBR_7.to.14.years.old_Female"	8.7.32	8.7	8
"SL_TLF_CHDLBR_7.to.14.years.old_Male"	8.7.33	8.7	8
"SL_TLF_CHDLBR_7.to.17.years.old_Both.sexes.or.no.breakdown.by.sex"	8.7.34	8.7	8
"SL_TLF_CHDLBR_7.to.17.years.old_Female"	8.7.35	8.7	8
"SL_TLF_CHDLBR_7.to.17.years.old_Male"	8.7.36	8.7	8
"SL_TLF_CHDLBRN_10.to.14.years.old_Both.sexes.or.no.breakdown.by.sex"	8.7.37	8.7	8
"SL_TLF_CHDLBRN_10.to.14.years.old_Female"	8.7.38	8.7	8
"SL_TLF_CHDLBRN_10.to.14.years.old_Male"	8.7.39	8.7	8
"SL_TLF_CHDLBRN_10.to.17.years.old_Both.sexes.or.no.breakdown.by.sex"	8.7.40	8.7	8
"SL_TLF_CHDLBRN_10.to.17.years.old_Female"	8.7.41	8.7	8
"SL_TLF_CHDLBRN_10.to.17.years.old_Male"	8.7.42	8.7	8
"SL_TLF_CHDLBRN_12.to.14.years.old_Both.sexes.or.no.breakdown.by.sex"	8.7.43	8.7	8
"SL_TLF_CHDLBRN_12.to.14.years.old_Female"	8.7.44	8.7	8
"SL_TLF_CHDLBRN_12.to.14.years.old_Male"	8.7.45	8.7	8
"SL_TLF_CHDLBRN_12.to.17.years.old_Both.sexes.or.no.breakdown.by.sex"	8.7.46	8.7	8
"SL_TLF_CHDLBRN_12.to.17.years.old_Female"	8.7.47	8.7	8
"SL_TLF_CHDLBRN_12.to.17.years.old_Male"	8.7.48	8.7	8
"SL_TLF_CHDLBRN_15.to.17.years.old_Both.sexes.or.no.breakdown.by.sex"	8.7.49	8.7	8
"SL_TLF_CHDLBRN_15.to.17.years.old_Female"		8.7.50	8.7	8
"SL_TLF_CHDLBRN_15.to.17.years.old_Male"	8.7.51	8.7	8
"SL_TLF_CHDLBRN_5.to.14.years.old_Both.sexes.or.no.breakdown.by.sex"	8.7.52	8.7	8
"SL_TLF_CHDLBRN_5.to.14.years.old_Female"	8.7.53	8.7	8
"SL_TLF_CHDLBRN_5.to.14.years.old_Male"	8.7.54	8.7	8
"SL_TLF_CHDLBRN_5.to.17.years.old_Both.sexes.or.no.breakdown.by.sex"	8.7.55	8.7	8
"SL_TLF_CHDLBRN_5.to.17.years.old_Female"	8.7.56	8.7	8
"SL_TLF_CHDLBRN_5.to.17.years.old_Male"	8.7.57	8.7	8
"SL_TLF_CHDLBRN_6.to.14.years.old_Both.sexes.or.no.breakdown.by.sex"	8.7.58	8.7	8
"SL_TLF_CHDLBRN_6.to.14.years.old_Female"	8.7.59	8.7	8
"SL_TLF_CHDLBRN_6.to.14.years.old_Male"	8.7.60	8.7	8
"SL_TLF_CHDLBRN_6.to.17.years.old_Both.sexes.or.no.breakdown.by.sex"	8.7.61	8.7	8
"SL_TLF_CHDLBRN_6.to.17.years.old_Female"	8.7.62	8.7	8
"SL_TLF_CHDLBRN_6.to.17.years.old_Male"	8.7.63	8.7	8
"SL_TLF_CHDLBRN_7.to.14.years.old_Both.sexes.or.no.breakdown.by.sex"	8.7.64	8.7	8
"SL_TLF_CHDLBRN_7.to.14.years.old_Female"	8.7.65	8.7	8
"SL_TLF_CHDLBRN_7.to.14.years.old_Male"	8.7.66	8.7	8
"SL_TLF_CHDLBRN_7.to.17.years.old_Both.sexes.or.no.breakdown.by.sex"	8.7.67	8.7	8
"SL_TLF_CHDLBRN_7.to.17.years.old_Female"	8.7.68	8.7	8
"SL_TLF_CHDLBRN_7.to.17.years.old_Male"	8.7.69	8.7	8
"SL_TLF_CHDN_5.to.17.years.old_Both.sexes.or.no.breakdown.by.sex"	8.7.70	8.7	8
"SL_EMP_FTLINJUR_15.years.old.and.over_Both.sexes.or.no.breakdown.by.sex"	8.8.1	8.8	8
"SL_EMP_FTLINJUR_15.years.old.and.over_Female"	8.8.2	8.8	8
"SL_EMP_FTLINJUR_15.years.old.and.over_Male"8.8.3	8.8	8
"SL_EMP_INJUR_15.years.old.and.over_Both.sexes.or.no.breakdown.by.sex"	8.8.4	8.8	8
"SL_EMP_INJUR_15.years.old.and.over_Female"	8.8.5	8.8	8
"SL_EMP_INJUR_15.years.old.and.over_Male"	8.8.6	8.8	8
"FB_ATM_TOTL_15.years.old.and.over_Both.sexes.or.no.breakdown.by.sex"	8.10.1	8.10	8
